movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_dailyscripts_conventioned,_merge_main_dailyscripts
Airplane,Airplane,both,Airplane,Airplane,both
Airplane 2 The Sequel,Airplane 2 The Sequel,both,Airplane 2 The Sequel,Airplane 2 The Sequel,both
Aladdin,Aladdin,both,Aladdin,,left_only
Alex Cross,,left_only,Alex Cross,,left_only
,,,,Alfie,right_only
Ali,Ali,both,Ali,Ali,both
Alien,Alien,both,Alien,Alien,both
Alien 3,Alien 3,both,Alien 3,,left_only
Alien Covenant,,left_only,Alien Covenant,,left_only
,Alien Nation,right_only,Alien Nation,Alien Nation,both
Alien Resurrection,Alien Resurrection,both,Alien Resurrection,,left_only
,Alien Vs Predator,right_only,Alien Vs Predator,,left_only
Alien Vs Predator Requiem,,left_only,Alien Vs Predator Requiem,,left_only
Aliens,Aliens,both,Aliens,Aliens,both
Aligarh,,left_only,Aligarh,,left_only
All About Eve,All About Eve,both,All About Eve,All About Eve,both
,All About Steve,right_only,All About Steve,,left_only
All Is Lost,,left_only,All Is Lost,,left_only
All Is True,,left_only,All Is True,,left_only
All Of Us Strangers,All Of Us Strangers,both,All Of Us Strangers,,left_only
All Quiet On The Western Front,,left_only,All Quiet On The Western Front,,left_only
All The Boy Love Mandy Lane,,left_only,All The Boy Love Mandy Lane,,left_only
,All The Kings Men,right_only,All The Kings Men,All The Kings Men,both
All The Money In The World,,left_only,All The Money In The World,,left_only
All The Old Knives,,left_only,All The Old Knives,,left_only
All The Presidents Men,All The Presidents Men,both,All The Presidents Men,All The Presidents Men,both
Almost Famous,Almost Famous,both,Almost Famous,Almost Famous,both
,Alone In The Dark,right_only,Alone In The Dark,,left_only
Altered States,,left_only,Altered States,,left_only
Amadeus,Amadeus,both,Amadeus,Amadeus,both
Ambulance,,left_only,Ambulance,,left_only
,Amelia,right_only,Amelia,,left_only
American Animals,,left_only,American Animals,,left_only
American Beauty,American Beauty,both,American Beauty,American Beauty,both
,,,,American Bullshit (filmed As American Hustle),right_only
American Fiction,American Fiction,both,American Fiction,,left_only
,American Gangster,right_only,American Gangster,,left_only
American Graffiti,American Graffiti,both,American Graffiti,American Graffiti,both
,American History X,right_only,American History X,,left_only
American Hustle,American Hustle,both,American Hustle,,left_only
,American Madness,right_only,American Madness,American Madness,both
,American Milkshake,right_only,American Milkshake,,left_only
,American Outlaws,right_only,American Outlaws,American Outlaws,both
American Pie,American Pie,both,American Pie,American Pie,both
American Psycho,American Psycho,both,American Psycho,American Psycho,both
,American Shaolin King Of Kickboxers 2,right_only,American Shaolin King Of Kickboxers 2,,left_only
American Sniper,American Sniper,both,American Sniper,,left_only
,American Splendor,right_only,American Splendor,American Splendor,both
American Ultra,,left_only,American Ultra,,left_only
,American Werewolf In London,right_only,American Werewolf In London,,left_only
Amistad,,left_only,Amistad,,left_only
Amour,Amour,both,Amour,,left_only
Amsterdam,,left_only,Amsterdam,,left_only
Amélie,,left_only,Amélie,,left_only
An Affair To Remember,,left_only,An Affair To Remember,An Affair To Remember,both
An American Werewolf In London,,left_only,An American Werewolf In London,An American Werewolf In London,both
,,,,An American Werewolf In Paris,right_only
,An Education,right_only,An Education,,left_only
,,,,An Officer And A Gentleman,right_only
An Unmarried Woman,,left_only,An Unmarried Woman,,left_only
Anaconda,,left_only,Anaconda,,left_only
,,,,Analyse That,right_only
,,,,Analyse This,right_only
Analyze That,Analyze That,both,Analyze That,,left_only
Analyze This,Analyze This,both,Analyze This,,left_only
Anastasia,Anastasia,both,Anastasia,,left_only
Anatomy Of A Fall,,left_only,Anatomy Of A Fall,,left_only
Anatomy Of A Murder,,left_only,Anatomy Of A Murder,Anatomy Of A Murder,both
Anchorman The Legend Of Ron Burgundy,,left_only,Anchorman The Legend Of Ron Burgundy,,left_only
Angel Eyes,Angel Eyes,both,Angel Eyes,Angel Eyes,both
,Angels & Demons,right_only,Angels & Demons,,left_only
Angels With Dirty Faces,,left_only,Angels With Dirty Faces,,left_only
Anger Management,,left_only,Anger Management,,left_only
Animal Kingdom,,left_only,Animal Kingdom,,left_only
,Anna Karenina,right_only,Anna Karenina,,left_only
Annabelle,,left_only,Annabelle,,left_only
Annette,,left_only,Annette,,left_only
Annie Hall,Annie Hall,both,Annie Hall,Annie Hall,both
Annihilation,,left_only,Annihilation,,left_only
,Anonymous,right_only,Anonymous,,left_only
Anora,Anora,both,Anora,,left_only
