movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_dailyscripts_conventioned,_merge_main_dailyscripts
,Chronicles Of Narnia The Lion The Witch And The Wardrobe,right_only,Chronicles Of Narnia The Lion The Witch And The Wardrobe,,left_only
Cinderella Man,,left_only,Cinderella Man,,left_only
,Cinema Paradiso,right_only,Cinema Paradiso,Cinema Paradiso,both
,Cirque Du Freak The Vampires Assistant,right_only,Cirque Du Freak The Vampires Assistant,,left_only
Citizen Kane,Citizen Kane,both,Citizen Kane,Citizen Kane,both
,City Of Joy,right_only,City Of Joy,City Of Joy,both
,Clash Of The Titans,right_only,Clash Of The Titans,,left_only
Clear And Present Danger,,left_only,Clear And Present Danger,,left_only
Clerks,Clerks,both,Clerks,Clerks,both
Clerks 2,,left_only,Clerks 2,,left_only
,Cliffhanger,right_only,Cliffhanger,Cliffhanger,both
Clockers,,left_only,Clockers,,left_only
,Clockwork Orange A,right_only,Clockwork Orange A,,left_only
Close Encounters Of The Third Kind,,left_only,Close Encounters Of The Third Kind,,left_only
Cloud Atlas,,left_only,Cloud Atlas,,left_only
Cloverfield,,left_only,Cloverfield,,left_only
Clue,,left_only,Clue,,left_only
,Clueless,right_only,Clueless,,left_only
Cmon Cmon,,left_only,Cmon Cmon,,left_only
,Cobb,right_only,Cobb,Cobb,both
Coco,Coco,both,Coco,,left_only
Cocoon,,left_only,Cocoon,,left_only
Coda,,left_only,Coda,,left_only
,Code Of Silence,right_only,Code Of Silence,Code Of Silence,both
Cold Mountain,Cold Mountain,both,Cold Mountain,Cold Mountain,both
Colette,,left_only,Colette,,left_only
Collateral,Collateral,both,Collateral,Collateral,both
,Collateral Damage,right_only,Collateral Damage,Collateral Damage,both
,Colombiana,right_only,Colombiana,,left_only
Color Of Night,Color Of Night,both,Color Of Night,,left_only
Come To Daddy,,left_only,Come To Daddy,,left_only
Coming Home,,left_only,Coming Home,,left_only
Coming To America,,left_only,Coming To America,,left_only
Commando,Commando,both,Commando,,left_only
,,,,Committed (filmed As Crazy Love),right_only
,,,,Committed (filmed As Crazylove),right_only
Con Air,,left_only,Con Air,,left_only
,,,,Conan,right_only
,Conan The Barbarian,right_only,Conan The Barbarian,,left_only
Conclave,,left_only,Conclave,,left_only
Coneheads,,left_only,Coneheads,,left_only
,Confessions Of A Dangerous Mind,right_only,Confessions Of A Dangerous Mind,,left_only
,Confidence,right_only,Confidence,Confidence,both
,,,,Conquest Of Paradise 1492,right_only
,,,,Conspiracy Theory,right_only
Constantine,Constantine,both,Constantine,,left_only
Contact,Contact,both,Contact,,left_only
Contagion,,left_only,Contagion,,left_only
Cool Hand Luke,,left_only,Cool Hand Luke,,left_only
Cool Runnings,,left_only,Cool Runnings,,left_only
Copycat,Copycat,both,Copycat,Copycat,both
Coraline,Coraline,both,Coraline,,left_only
,Coriolanus,right_only,Coriolanus,,left_only
Corpse Bride,Corpse Bride,both,Corpse Bride,,left_only
Courage Under Fire,Courage Under Fire,both,Courage Under Fire,Courage Under Fire,both
,Cowboys & Aliens,right_only,Cowboys & Aliens,,left_only
,Cradle 2 The Grave,right_only,Cradle 2 The Grave,,left_only
,,,,Cradle To The Grave,right_only
,Crank,right_only,Crank,Crank,both
Crash,Crash,both,Crash,,left_only
,,,,Crash (1996),right_only
Crawl,,left_only,Crawl,,left_only
,,,,Crazy Love (was Committed),right_only
Crazy Rich Asians,,left_only,Crazy Rich Asians,,left_only
Crazy Stupid Love,Crazy Stupid Love,both,Crazy Stupid Love,,left_only
,Crazylove,right_only,Crazylove,,left_only
,,,,Crazylove (was Committed),right_only
,Creation,right_only,Creation,,left_only
Creed,,left_only,Creed,,left_only
Creed 2,,left_only,Creed 2,,left_only
Creed 3,,left_only,Creed 3,,left_only
,Crime Spree,right_only,Crime Spree,Crime Spree,both
Crimson Peak,,left_only,Crimson Peak,,left_only
Critters,,left_only,Critters,,left_only
,,,,Cross Of Iron,right_only
,Crouching Tiger Hidden Dragon,right_only,Crouching Tiger Hidden Dragon,,left_only
,Croupier,right_only,Croupier,Croupier,both
,,,,Crow 3 Resurrection,right_only
,Cruel Intentions,right_only,Cruel Intentions,Cruel Intentions,both
,Crying Game,right_only,Crying Game,,left_only
,Cube,right_only,Cube,,left_only
Curly Sue,,left_only,Curly Sue,,left_only
,,,,Curse Of The Cat People,right_only
,Custody,right_only,Custody,,left_only
Cyrano,,left_only,Cyrano,,left_only
D2 The Mighty Ducks,,left_only,D2 The Mighty Ducks,,left_only
D3 The Mighty Ducks,,left_only,D3 The Mighty Ducks,,left_only
Da 5 Bloods,,left_only,Da 5 Bloods,,left_only
Dallas Buyers Club,Dallas Buyers Club,both,Dallas Buyers Club,,left_only
Dances With Wolves,Dances With Wolves,both,Dances With Wolves,Dances With Wolves,both
Daredevil,,left_only,Daredevil,,left_only
,,,,Dark Angel Pilot,right_only
Dark City,Dark City,both,Dark City,Dark City,both
,,,,Dark City�,right_only
,Dark Star,right_only,Dark Star,Dark Star,both
Darker Than Amber,,left_only,Darker Than Amber,,left_only
Darkest Hour,,left_only,Darkest Hour,,left_only
Darkman,Darkman,both,Darkman,Darkman,both
,Date Night,right_only,Date Night,,left_only
,Dave Barrys Complete Guide To Guys,right_only,Dave Barrys Complete Guide To Guys,,left_only
Dawn Of The Dead,Dawn Of The Dead,both,Dawn Of The Dead,,left_only
Dawn Of The Planet Of The Apes,,left_only,Dawn Of The Planet Of The Apes,,left_only
,Day Of The Dead,right_only,Day Of The Dead,,left_only
Days Of Heaven,Days Of Heaven,both,Days Of Heaven,Days Of Heaven,both
Dazed And Confused,,left_only,Dazed And Confused,,left_only
Dead Poets Society,Dead Poets Society,both,Dead Poets Society,Dead Poets Society,both
Deadpool,Deadpool,both,Deadpool,,left_only
Deadpool & Wolverine,Deadpool & Wolverine,both,Deadpool & Wolverine,,left_only
Dear White People,Dear White People,both,Dear White People,,left_only
Death At A Funeral,Death At A Funeral,both,Death At A Funeral,,left_only
Death Becomes Her,,left_only,Death Becomes Her,,left_only
Death Note,,left_only,Death Note,,left_only
Death Proof,,left_only,Death Proof,,left_only
,Death To Smoochy,right_only,Death To Smoochy,Death To Smoochy,both
,Deception,right_only,Deception,,left_only
,Deep Cover,right_only,Deep Cover,Deep Cover,both
,Deep Rising,right_only,Deep Rising,Deep Rising,both
Deep Star Six,,left_only,Deep Star Six,,left_only
,Defiance,right_only,Defiance,Defiance,both
,,,,Deliverance,right_only
Demolition Man,,left_only,Demolition Man,Demolition Man,both
Den Of Thieves,,left_only,Den Of Thieves,,left_only
Denial,,left_only,Denial,,left_only
,Despicable Me 2,right_only,Despicable Me 2,,left_only
Destroyer,,left_only,Destroyer,,left_only
,Detroit Rock City,right_only,Detroit Rock City,Detroit Rock City,both
,Devil In A Blue Dress,right_only,Devil In A Blue Dress,Devil In A Blue Dress,both
,Devils Advocate,right_only,Devils Advocate,,left_only
Die Hard,Die Hard,both,Die Hard,,left_only
Die Hard 2,Die Hard 2,both,Die Hard 2,Die Hard 2,both
Die Hard With A Vengeance,,left_only,Die Hard With A Vengeance,,left_only
,Diner,right_only,Diner,Diner,both
Dinner For Schmucks,,left_only,Dinner For Schmucks,,left_only
Dirty Girl,,left_only,Dirty Girl,,left_only
Dirty Harry,,left_only,Dirty Harry,,left_only
Disclosure,,left_only,Disclosure,,left_only
Disobedience,,left_only,Disobedience,,left_only
Disorderlies,,left_only,Disorderlies,,left_only
,Disturbia,right_only,Disturbia,Disturbia,both
Django Unchained,Django Unchained,both,Django Unchained,Django Unchained,both
Do The Right Thing,Do The Right Thing,both,Do The Right Thing,,left_only
Doctor Sleep,,left_only,Doctor Sleep,,left_only
Doctor Zhivago,,left_only,Doctor Zhivago,Doctor Zhivago,both
,Dog Day Afternoon,right_only,Dog Day Afternoon,Dog Day Afternoon,both
Dogma,Dogma,both,Dogma,,left_only
Dolemite Is My Name,,left_only,Dolemite Is My Name,,left_only
Dominion,,left_only,Dominion,,left_only
,,,,Domino,right_only
Donnie Brasco,Donnie Brasco,both,Donnie Brasco,Donnie Brasco,both
Donnie Darko,Donnie Darko,both,Donnie Darko,Donnie Darko,both
Dont Look Now,,left_only,Dont Look Now,,left_only
Dont Look Up,,left_only,Dont Look Up,,left_only
Dont Worry Darling,,left_only,Dont Worry Darling,,left_only
Doom,,left_only,Doom,Doom,both
Dope,,left_only,Dope,,left_only
,Double Indemnity,right_only,Double Indemnity,Double Indemnity,both
Doubt,,left_only,Doubt,,left_only
Downhill,,left_only,Downhill,,left_only
Downsizing,,left_only,Downsizing,Downsizing,both
Downton Abbey,,left_only,Downton Abbey,,left_only
Dr Horribles Sing Along Blog,,left_only,Dr Horribles Sing Along Blog,,left_only
Dr No,,left_only,Dr No,,left_only
Dr Strangelove Or How I Learned To Stop Worrying And Love The Bomb,,left_only,Dr Strangelove Or How I Learned To Stop Worrying And Love The Bomb,,left_only
Drag Me To Hell,Drag Me To Hell,both,Drag Me To Hell,,left_only
,,,,Dragon Slayer,right_only
Dragonheart,,left_only,Dragonheart,,left_only
,Dragonslayer,right_only,Dragonslayer,,left_only
Dream Scenario,Dream Scenario,both,Dream Scenario,,left_only
Dredd,,left_only,Dredd,,left_only
Dressed To Kill,,left_only,Dressed To Kill,,left_only
Drive,Drive,both,Drive,,left_only
,Drive Angry,right_only,Drive Angry,,left_only
Driving Miss Daisy,,left_only,Driving Miss Daisy,,left_only
,Drop Dead Gorgeous,right_only,Drop Dead Gorgeous,Drop Dead Gorgeous,both
,Dry White Season A,right_only,Dry White Season A,,left_only
,,,,Duchess,right_only
,Duck Soup,right_only,Duck Soup,Duck Soup,both
,Dumb And Dumber,right_only,Dumb And Dumber,Dumb And Dumber,both
Dumb Money,,left_only,Dumb Money,,left_only
Dune,Dune,both,Dune,,left_only
Dune,Dune,both,Dune,,left_only
,Dune Part One,right_only,Dune Part One,,left_only
Dunkirk,,left_only,Dunkirk,Dunkirk,both
Duplicity,,left_only,Duplicity,,left_only
Dutch,,left_only,Dutch,,left_only
,Eagle Eye,right_only,Eagle Eye,,left_only
,Eastern Promises,right_only,Eastern Promises,,left_only
Easy A,Easy A,both,Easy A,,left_only
,Ed Tv,right_only,Ed Tv,Ed Tv,both
Ed Wood,Ed Wood,both,Ed Wood,Ed Wood,both
Eddie The Eagle,,left_only,Eddie The Eagle,,left_only
Edge Of Tomorrow,,left_only,Edge Of Tomorrow,,left_only
Edward Scissorhands,Edward Scissorhands,both,Edward Scissorhands,Edward Scissorhands,both
,Eight Legged Freaks,right_only,Eight Legged Freaks,,left_only
,,,,Eight Legged Freaks (originally Titled Arac Attack),right_only
,,,,Eight Millimeter,right_only
,,,,Eight Scenes From The Life Of Hank Williams,right_only
Eighth Grade,,left_only,Eighth Grade,,left_only
,,,,El Cantante,right_only
,,,,El Laberinto Del Fauno,right_only
,El Mariachi,right_only,El Mariachi,El Mariachi,both
Election,Election,both,Election,Election,both
Elemental,Elemental,both,Elemental,,left_only
,,,,Elf,right_only
,Elizabeth The Golden Age,right_only,Elizabeth The Golden Age,Elizabeth The Golden Age,both
,,,,Elizabethtown,right_only
,,,,Elle,right_only
Elvis,Elvis,both,Elvis,,left_only
Elysium,,left_only,Elysium,,left_only
Emancipation,,left_only,Emancipation,,left_only
Emergency,,left_only,Emergency,,left_only
Emilia Pérez,,left_only,Emilia Pérez,,left_only
Emma,,left_only,Emma,,left_only
Empire Of Light,,left_only,Empire Of Light,,left_only
,,,,Empire Of The Sun,right_only
Encanto,,left_only,Encanto,,left_only
Encounter,,left_only,Encounter,,left_only
End Of Watch,,left_only,End Of Watch,,left_only
,Enemy Of The State,right_only,Enemy Of The State,Enemy Of The State,both
,Enough,right_only,Enough,,left_only
Enough Said,,left_only,Enough Said,,left_only
,Entrapment,right_only,Entrapment,Entrapment,both
,Equilibrium,right_only,Equilibrium,Equilibrium,both
Equity,,left_only,Equity,Equity,both
Eraser,,left_only,Eraser,,left_only
,Erik The Viking,right_only,Erik The Viking,Erik The Viking,both
,Erik The Viking,right_only,Erik The Viking,Erik The Viking,both
Erin Brockovich,Erin Brockovich,both,Erin Brockovich,Erin Brockovich,both
,,,,Erin Brockovich ,right_only
,Escape From La,right_only,Escape From La,,left_only
,Escape From New York,right_only,Escape From New York,,left_only
,Et,right_only,Et,,left_only
Et The Extra Terrestrial,,left_only,Et The Extra Terrestrial,,left_only
Eternal Sunshine Of The Spotless Mind,Eternal Sunshine Of The Spotless Mind,both,Eternal Sunshine Of The Spotless Mind,Eternal Sunshine Of The Spotless Mind,both
,Even Cowgirls Get The Blues,right_only,Even Cowgirls Get The Blues,Even Cowgirls Get The Blues,both
Event Horizon,Event Horizon,both,Event Horizon,Event Horizon,both
Everything Everywhere All At Once,,left_only,Everything Everywhere All At Once,,left_only
Evil Dead,Evil Dead,both,Evil Dead,,left_only
Evil Dead 2,,left_only,Evil Dead 2,,left_only
,Evil Dead 2 Dead By Dawn,right_only,Evil Dead 2 Dead By Dawn,,left_only
Evolution,,left_only,Evolution,,left_only
Ex Machina,Ex Machina,both,Ex Machina,Ex Machina,both
Excalibur,Excalibur,both,Excalibur,Excalibur,both
,Executive Decision,right_only,Executive Decision,Executive Decision,both
,Existenz,right_only,Existenz,,left_only
Exorcist 2 The Heretic,,left_only,Exorcist 2 The Heretic,,left_only
,Extract,right_only,Extract,,left_only
Extremely Wicked Shockingly Evil And Vile,,left_only,Extremely Wicked Shockingly Evil And Vile,,left_only
Eye In The Sky,,left_only,Eye In The Sky,,left_only
Eyes Wide Shut,Eyes Wide Shut,both,Eyes Wide Shut,,left_only
,Face Off,right_only,Face Off,,left_only
,,,,Face/off,right_only
,Fair Game,right_only,Fair Game,,left_only
Fair Play,,left_only,Fair Play,,left_only
,Fairytale A True Story,right_only,Fairytale A True Story,,left_only
,,,,Fallen,right_only
Fanboys,,left_only,Fanboys,,left_only
Fantastic Beasts And Where To Find Them,Fantastic Beasts And Where To Find Them,both,Fantastic Beasts And Where To Find Them,,left_only
Fantastic Beasts The Crimes Of Grindelwald,Fantastic Beasts The Crimes Of Grindelwald,both,Fantastic Beasts The Crimes Of Grindelwald,,left_only
Fantastic Beasts The Secrets Of Dumbledore,Fantastic Beasts The Secrets Of Dumbledore,both,Fantastic Beasts The Secrets Of Dumbledore,,left_only
,Fantastic Four,right_only,Fantastic Four,,left_only
Fantastic Mr Fox,Fantastic Mr Fox,both,Fantastic Mr Fox,,left_only
,,,,Far From The Maddening Crowd,right_only
Fargo,Fargo,both,Fargo,Fargo,both
Fast Color,,left_only,Fast Color,,left_only
,Fast Times At Ridgemont High,right_only,Fast Times At Ridgemont High,Fast Times At Ridgemont High,both
,Fast Times At Ridgemont High,right_only,Fast Times At Ridgemont High,Fast Times At Ridgemont High,both
Fatal Attraction,,left_only,Fatal Attraction,,left_only
,Fatal Instinct,right_only,Fatal Instinct,Fatal Instinct,both
Faults,,left_only,Faults,,left_only
,Fear And Loathing In Las Vegas,right_only,Fear And Loathing In Las Vegas,Fear And Loathing In Las Vegas,both
,Fear And Loathing In Las Vegas,right_only,Fear And Loathing In Las Vegas,Fear And Loathing In Las Vegas,both
Fear Street Part One 1994,,left_only,Fear Street Part One 1994,,left_only
,Feast,right_only,Feast,,left_only
,,,,Feast Early Draft,right_only
,,,,Feast Revised Draft,right_only
Fences,,left_only,Fences,Fences,both
Ferrari,Ferrari,both,Ferrari,,left_only
Ferris Buellers Day Off,Ferris Buellers Day Off,both,Ferris Buellers Day Off,Ferris Buellers Day Off,both
Field Of Dreams,Field Of Dreams,both,Field Of Dreams,Field Of Dreams,both
,,,,Fifty Violins (filmed As Music Of The Heart),right_only
Fight Club,Fight Club,both,Fight Club,Fight Club,both
Fighting With My Family,,left_only,Fighting With My Family,,left_only
Film Stars Dont Die In Liverpool,,left_only,Film Stars Dont Die In Liverpool,,left_only
,,,,Final Analysis,right_only
Final Destination,Final Destination,both,Final Destination,Final Destination,both
,Final Destination 2,right_only,Final Destination 2,Final Destination 2,both
Finding Nemo,Finding Nemo,both,Finding Nemo,,left_only
First Blood,,left_only,First Blood,,left_only
First Cow,First Cow,both,First Cow,,left_only
First Man,,left_only,First Man,,left_only
,,,,First Man (written As Armstrong),right_only
First Reformed,,left_only,First Reformed,,left_only
First They Killed My Father,,left_only,First They Killed My Father,,left_only
,Five Easy Pieces,right_only,Five Easy Pieces,Five Easy Pieces,both
,,,,Five Feet And Rising,right_only
,Flash Gordon,right_only,Flash Gordon,,left_only
Flashdance,,left_only,Flashdance,,left_only
Flatliners,,left_only,Flatliners,,left_only
,Fletch,right_only,Fletch,Fletch,both
Flight,Flight,both,Flight,Flight,both
,,,,Flight Plan,right_only
Flora And Son,Flora And Son,both,Flora And Son,,left_only
Focus,,left_only,Focus,,left_only
Foe,Foe,both,Foe,,left_only
Following,,left_only,Following,,left_only
For Your Eyes Only,,left_only,For Your Eyes Only,,left_only
,,,,Forbidden Planet,right_only
,,,,Ford Fairlane (the Adventures Of Ford Fairlane),right_only
Ford V Ferrari,,left_only,Ford V Ferrari,,left_only
Forrest Gump,Forrest Gump,both,Forrest Gump,Forrest Gump,both
,,,,Foundation,right_only
,Four Feathers,right_only,Four Feathers,Four Feathers,both
Four Rooms,Four Rooms,both,Four Rooms,Four Rooms,both
Four Weddings And A Funeral,,left_only,Four Weddings And A Funeral,,left_only
Foxcatcher,Foxcatcher,both,Foxcatcher,,left_only
,Fracture,right_only,Fracture,Fracture,both
Frailty,,left_only,Frailty,,left_only
,Frances,right_only,Frances,Frances,both
Frances Ha,,left_only,Frances Ha,,left_only
Frank,,left_only,Frank,,left_only
,Frankenstein,right_only,Frankenstein,,left_only
,,,,Frankenstein (1994),right_only
Frankensteins Army,,left_only,Frankensteins Army,,left_only
Frankenweenie,Frankenweenie,both,Frankenweenie,,left_only
Frankie,,left_only,Frankie,,left_only
Frantic,,left_only,Frantic,,left_only
,Freaked,right_only,Freaked,Freaked,both
Fred Claus,Fred Claus,both,Fred Claus,,left_only
Freddy Vs Jason,Freddy Vs Jason,both,Freddy Vs Jason,Freddy Vs Jason,both
,,,,Freddys Dead The Final Nightmare,right_only
Free Fire,,left_only,Free Fire,,left_only
Free Guy,,left_only,Free Guy,,left_only
Frequency,Frequency,both,Frequency,Frequency,both
Fresh,,left_only,Fresh,,left_only
Freuds Last Session,Freuds Last Session,both,Freuds Last Session,,left_only
Friday,,left_only,Friday,,left_only
Friday The 13th,Friday The 13th,both,Friday The 13th,Friday The 13th,both
Friday The 13th,Friday The 13th,both,Friday The 13th,Friday The 13th,both
,,,,Friday The 13th Part 10 Jason X,right_only
Friday The 13th Part 6 Jason Lives,,left_only,Friday The 13th Part 6 Jason Lives,,left_only
,Friday The 13th Part 8 Jason Takes Manhattan,right_only,Friday The 13th Part 8 Jason Takes Manhattan,,left_only
,,,,Friday The 13th Part 8 Jason Takes Manhatten,right_only
,Fright Night,right_only,Fright Night,,left_only
,Fright Night (1985),right_only,Fright Night (1985),,left_only
From Dusk Till Dawn,From Dusk Till Dawn,both,From Dusk Till Dawn,From Dusk Till Dawn,both
,From Here To Eternity,right_only,From Here To Eternity,,left_only
From Russia With Love,,left_only,From Russia With Love,From Russia With Love,both
Frost / Nixon,,left_only,Frost / Nixon,,left_only
,,,,Frost/nixon,right_only
Frozen,Frozen,both,Frozen,,left_only
,Frozen (disney),right_only,Frozen (disney),,left_only
,Frozen River,right_only,Frozen River,Frozen River,both
Fruitvale Station,Fruitvale Station,both,Fruitvale Station,,left_only
,,,,Ftkmf (first They Killed My Father ,right_only
Full Metal Jacket,Full Metal Jacket,both,Full Metal Jacket,,left_only
,,,,Fun With Dick And Jane Part 1,right_only
,,,,Fun With Dick And Jane Part 2,right_only
,Funny People,right_only,Funny People,Funny People,both
Fury,Fury,both,Fury,Fury,both
,Game 6,right_only,Game 6,Game 6,both
Game Night,,left_only,Game Night,,left_only
,Gamer,right_only,Gamer,,left_only
,Gandhi,right_only,Gandhi,Gandhi,both
,Gang Related,right_only,Gang Related,Gang Related,both
,Gangs Of New York,right_only,Gangs Of New York,,left_only
Garden State,Garden State,both,Garden State,Garden State,both
,,,,Gateway,right_only
Gattaca,Gattaca,both,Gattaca,Gattaca,both
Gemini Man,,left_only,Gemini Man,,left_only
Geostorm,,left_only,Geostorm,,left_only
Get Carter,Get Carter,both,Get Carter,Get Carter,both
,,,,Get Him To The Greek,right_only
Get Low,Get Low,both,Get Low,,left_only
Get On Up,Get On Up,both,Get On Up,Get On Up,both
Get Out,Get Out,both,Get Out,,left_only
Get Rich Or Die Tryin,,left_only,Get Rich Or Die Tryin,,left_only
,,,,Get Rich Or Die Trying (aka Untitled 50 Cent Project),right_only
,Get Shorty,right_only,Get Shorty,Get Shorty,both
Ghost,Ghost,both,Ghost,Ghost,both
Ghost Rider,Ghost Rider,both,Ghost Rider,,left_only
,Ghost Ship,right_only,Ghost Ship,Ghost Ship,both
,Ghost World,right_only,Ghost World,Ghost World,both
Ghostbusters,Ghostbusters,both,Ghostbusters,,left_only
Ghostbusters 2,Ghostbusters 2,both,Ghostbusters 2,,left_only
,Gi Jane,right_only,Gi Jane,,left_only
,Gi Joe The Rise Of Cobra,right_only,Gi Joe The Rise Of Cobra,,left_only
,,,,Giant,right_only
Ginger Snaps,Ginger Snaps,both,Ginger Snaps,,left_only
Girl With The Pearl Earring,,left_only,Girl With The Pearl Earring,,left_only
Girls Trip,,left_only,Girls Trip,,left_only
Gladiator,Gladiator,both,Gladiator,,left_only
Gladiator 2,,left_only,Gladiator 2,,left_only
Glass Onion A Knives Out Mystery,,left_only,Glass Onion A Knives Out Mystery,,left_only
,Glengarry Glen Gross,right_only,Glengarry Glen Gross,,left_only
,,,,Glengarry Glen Ross,right_only
,,,,Glory Road,right_only
,Go,right_only,Go,,left_only
,Godfather,right_only,Godfather,,left_only
,Godfather Part 2,right_only,Godfather Part 2,,left_only
,Gods And Monsters,right_only,Gods And Monsters,Gods And Monsters,both
Godzilla,Godzilla,both,Godzilla,,left_only
Gold,,left_only,Gold,Gold,both
Goldeneye,,left_only,Goldeneye,Goldeneye,both
Goldfinger,,left_only,Goldfinger,Goldfinger,both
Gone Baby Gone,Gone Baby Gone,both,Gone Baby Gone,,left_only
Gone Girl,,left_only,Gone Girl,Gone Girl,both
,Gone In 60 Seconds,right_only,Gone In 60 Seconds,,left_only
,,,,Gone In Sixty Seconds,right_only
Gone With The Wind,,left_only,Gone With The Wind,Gone With The Wind,both
,,,,Good Luck Chuck,right_only
Good Morning Vietnam,,left_only,Good Morning Vietnam,,left_only
,,,,Good Night And Good Luck,right_only
Good Will Hunting,Good Will Hunting,both,Good Will Hunting,Good Will Hunting,both
Goodfellas,Goodfellas,both,Goodfellas,,left_only
,,,,Goodfellas ,right_only
,Gothika,right_only,Gothika,Gothika,both
,Grabbers,right_only,Grabbers,,left_only
,Gran Torino,right_only,Gran Torino,,left_only
,Grand Hotel,right_only,Grand Hotel,Grand Hotel,both
,Grand Theft Parsons,right_only,Grand Theft Parsons,,left_only
Gravity,Gravity,both,Gravity,Gravity,both
Grease,,left_only,Grease,,left_only
Green Book,,left_only,Green Book,,left_only
Green Lantern,,left_only,Green Lantern,,left_only
Green Room,,left_only,Green Room,,left_only
Greenberg,,left_only,Greenberg,,left_only
Gremlins,Gremlins,both,Gremlins,,left_only
,Gremlins 2,right_only,Gremlins 2,,left_only
Gremlins 2 The New Batch,,left_only,Gremlins 2 The New Batch,,left_only
,Grosse Point Blank,right_only,Grosse Point Blank,,left_only
,,,,Grosse Pointe Blank,right_only
Groundhog Day,Groundhog Day,both,Groundhog Day,Groundhog Day,both
Guardians Of The Galaxy Vol 2,Guardians Of The Galaxy Vol 2,both,Guardians Of The Galaxy Vol 2,,left_only
Guillermo Del Toros Pinocchio,,left_only,Guillermo Del Toros Pinocchio,,left_only
Gunpowder Milkshake,,left_only,Gunpowder Milkshake,,left_only
Hackers,Hackers,both,Hackers,,left_only
Hacksaw Ridge,,left_only,Hacksaw Ridge,,left_only
Hail Caesar,,left_only,Hail Caesar,,left_only
Hall Pass,Hall Pass,both,Hall Pass,,left_only
Halloween,Halloween,both,Halloween,Halloween,both
Halloween,Halloween,both,Halloween,Halloween,both
Halloween 2,,left_only,Halloween 2,,left_only
Halloween 3 Season Of The Witch,,left_only,Halloween 3 Season Of The Witch,,left_only
Halloween 4 The Return Of Michael Myers,,left_only,Halloween 4 The Return Of Michael Myers,,left_only
Halloween 5 The Revenge Of Michael Myers,,left_only,Halloween 5 The Revenge Of Michael Myers,,left_only
Halloween 6 The Curse Of Michael Myers,,left_only,Halloween 6 The Curse Of Michael Myers,,left_only
,,,,Halloween 6 The Curse Of Michael Myers (halloween 666 The Origin Of Michael Myers),right_only
Halloween H2o 20 Years Later,,left_only,Halloween H2o 20 Years Later,,left_only
Halloween Kills,,left_only,Halloween Kills,,left_only
,,,,Halloween Resurrection,right_only
,Halloween The Curse Of Michael Myers,right_only,Halloween The Curse Of Michael Myers,,left_only
,Hancock,right_only,Hancock,,left_only
Hangin With The Homeboys,,left_only,Hangin With The Homeboys,,left_only
Hanna,Hanna,both,Hanna,,left_only
,Hannah And Her Sisters,right_only,Hannah And Her Sisters,Hannah And Her Sisters,both
,Hannibal,right_only,Hannibal,Hannibal,both
,,,,Hanssen (filmed As Breach),right_only
Happy Birthday To Me,,left_only,Happy Birthday To Me,,left_only
,Happy Birthday Wanda June,right_only,Happy Birthday Wanda June,Happy Birthday Wanda June,both
,,,,Happy Campers,right_only
Happy Death Day,,left_only,Happy Death Day,,left_only
,Happy Feet,right_only,Happy Feet,,left_only
,,,,Happy Go Lucky,right_only
,Hard Rain,right_only,Hard Rain,Hard Rain,both
,Hard To Kill,right_only,Hard To Kill,Hard To Kill,both
,,,,Hardcore,right_only
Harlem Nights,,left_only,Harlem Nights,,left_only
,Harold And Kumar Go To White Castle,right_only,Harold And Kumar Go To White Castle,Harold And Kumar Go To White Castle,both
Harold And Maude,,left_only,Harold And Maude,Harold And Maude,both
Harriet,,left_only,Harriet,,left_only
Harry Potter And The Chamber Of Secrets,Harry Potter And The Chamber Of Secrets,both,Harry Potter And The Chamber Of Secrets,,left_only
Harry Potter And The Deathly Hallows Part 1,Harry Potter And The Deathly Hallows Part 1,both,Harry Potter And The Deathly Hallows Part 1,,left_only
Harry Potter And The Deathly Hallows Part 2,,left_only,Harry Potter And The Deathly Hallows Part 2,,left_only
Harry Potter And The Goblet Of Fire,Harry Potter And The Goblet Of Fire,both,Harry Potter And The Goblet Of Fire,,left_only
Harry Potter And The Half Blood Prince,Harry Potter And The Half Blood Prince,both,Harry Potter And The Half Blood Prince,,left_only
Harry Potter And The Order Of The Phoenix,,left_only,Harry Potter And The Order Of The Phoenix,Harry Potter And The Order Of The Phoenix,both
Harry Potter And The Prisoner Of Azkaban,Harry Potter And The Prisoner Of Azkaban,both,Harry Potter And The Prisoner Of Azkaban,,left_only
Harry Potter And The Sorcerers Stone,Harry Potter And The Sorcerers Stone,both,Harry Potter And The Sorcerers Stone,,left_only
,,,,Havoc 2 Normal Adolescent Behavior,right_only
Heat,Heat,both,Heat,Heat,both
Heathers,Heathers,both,Heathers,Heathers,both
Heaven Can Wait,,left_only,Heaven Can Wait,,left_only
,Heavenly Creatures,right_only,Heavenly Creatures,,left_only
Heavy Metal,Heavy Metal,both,Heavy Metal,Heavy Metal,both
Heavyweights,,left_only,Heavyweights,,left_only
,Heist,right_only,Heist,Heist,both
Hell Or High Water,,left_only,Hell Or High Water,,left_only
Hellbound Hellraiser 2,Hellbound Hellraiser 2,both,Hellbound Hellraiser 2,Hellbound Hellraiser 2,both
Hellboy,Hellboy,both,Hellboy,Hellboy,both
Hellboy,Hellboy,both,Hellboy,Hellboy,both
