name,name_conventioned,movie_name,movie_url,movie_url_extension,movie_name_conventioned,_merge,name_error,error,name_conventioned_error
American Shaolin: King of Kickboxers II,American Shaolin King Of Kickboxers 2,,,,,left_only,,,
American Sniper,American Sniper,,,,,left_only,,,
American Splendor,American Splendor,American Splendor,https://www.dailyscript.com/scripts/American_Splendor.pdf,pdf,American Splendor,both,,,
American Werewolf in London,American Werewolf In London,,,,,left_only,,,
Amour,Amour,,,,,left_only,,,
An Education,An Education,,,,,left_only,,,
Analyze That,Analyze That,,,,,left_only,,,
Analyze This,Analyze This,,,,,left_only,,,
Anastasia,Anastasia,,,,,left_only,,,
Angel Eyes,Angel Eyes,Angel Eyes,https://www.dailyscript.com/scripts/Angel_Eyes.PDF,pdf,Angel Eyes,both,,,
Angels & Demons,Angels & Demons,,,,,left_only,Angels & Demons,HTML len = 0 : no content scrapped,Angels & Demons
Anna Karenina,Anna Karenina,,,,,left_only,,,
Annie Hall,Annie Hall,Annie Hall,https://www.dailyscript.com/scripts/Annie%20Hall.txt,txt,Annie Hall,both,,,
Anonymous,Anonymous,,,,,left_only,,,
Anora,Anora,,,,,left_only,,,
Antitrust,Antitrust,Antitrust,https://www.dailyscript.com/scripts/Antitrust.txt,txt,Antitrust,both,,,
Antz,Antz,Antz,https://www.dailyscript.com/scripts/antz.html,html,Antz,both,,,
Apocalypse Now,Apocalypse Now,Apocalypse Now,https://www.dailyscript.com/scripts/apocolypse.html,html,Apocalypse Now,both,,,
Apollo 13,Apollo 13,,,,,left_only,Apollo 13,HTML len = 0 : no content scrapped,Apollo 13
April Fool's Day,April Fools Day,,,,,left_only,,,
Apt Pupil,Apt Pupil,Apt Pupil,https://www.dailyscript.com/scripts/apt-pupil_early.html,html,Apt Pupil,both,,,
Arbitrage,Arbitrage,,,,,left_only,,,
Arcade,Arcade,,,,,left_only,,,
Arctic Blue,Arctic Blue,,,,,left_only,,,
Argo,Argo,,,,,left_only,,,
Armageddon,Armageddon,,,,,left_only,,,
Army of Darkness,Army Of Darkness,,,,,left_only,,,
Arsenic and Old Lace,Arsenic And Old Lace,,,,,left_only,,,
Arthur,Arthur,,,,,left_only,,,
As Good As It Gets,As Good As It Gets,As Good As It Gets,https://www.dailyscript.com/scripts/as_good_as_it_gets.html,html,As Good As It Gets,both,,,
Assassins,Assassins,Assassins,https://www.dailyscript.com/scripts/assassins_early.html,html,Assassins,both,,,
Asteroid City,Asteroid City,,,,,left_only,,,
At First Sight,At First Sight,At First Sight,https://www.dailyscript.com/scripts/at_first_sight.html,html,At First Sight,both,,,
August: Osage County,August Osage County,,,,,left_only,,,
Austin Powers - International Man of Mystery,Austin Powers International Man Of Mystery,Austin Powers: International Man of Mystery,https://www.dailyscript.com/scripts/Austin%20Powers%20-%20International%20Man%20Of%20Mystery.txt,txt,Austin Powers International Man Of Mystery,both,,,
