name,movie_name,_merge,name_error,error
Boogie Nights,,left_only,,
Bookworm,,left_only,,
Boondock Saints 2: All Saints Day,,left_only,,
Bottle Rocket,Bottle Rocket,both,,
Bound,Bound,both,,
Boyhood,Boyhood,both,,
Braveheart,Braveheart,both,,
Brazil,Brazil,both,,
Break,Break,both,,
Breakdown,Breakdown,both,,
Breaking Away,,left_only,,
Brick,,left_only,,
Bridesmaids,,left_only,,
Bringing Out the Dead,Bringing Out the Dead,both,,
Broadcast News,Broadcast News,both,,
Broken Arrow,,left_only,,
Broken Embraces,,left_only,,
Bruce Almighty,Bruce Almighty,both,,
Buffy the Vampire Slayer,Buffy the Vampire Slayer,both,,
Bull Durham,Bull Durham,both,,
Buried,,left_only,,
Burlesque,,left_only,,
Burn After Reading,,left_only,,
Burning Annie,,left_only,,
Cable Guy,,left_only,,
Candle to Water,,left_only,,
Capote,Capote,both,,
Carrie,,left_only,,
Cars 2,,left_only,,
Casablanca,Casablanca,both,Casablanca,"Webstatus : 404
"
Case 39,,left_only,,
Casino,Casino,both,,
Cassandro,,left_only,,
Cast Away,Cast Away,both,,
Catch Me If You Can,,left_only,,
Catwoman,Catwoman,both,,
Cecil B. Demented,,left_only,,
Cedar Rapids,,left_only,,
Celeste & Jesse Forever,,left_only,Celeste & Jesse Forever,HTML len = 0 : no content scrapped
Cellular,Cellular,both,,
Changeling,Changeling,both,,
Chaos,,left_only,,
Charade,Charade,both,,
Charlie's Angels,Charlie's Angels,both,,
Chasing Amy,Chasing Amy,both,,
Chasing Sleep,Chasing Sleep,both,,
Cherry Falls,,left_only,,
Chinatown,Chinatown,both,,
Christ Complex,,left_only,,
Chronicle,Chronicle,both,,
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,left_only,,
Cinema Paradiso,Cinema Paradiso,both,,
Cirque du Freak: The Vampire's Assistant,,left_only,,
Citizen Kane,Citizen Kane,both,,
City of Joy,City of Joy,both,,
Clash of the Titans,,left_only,,
Clerks,Clerks,both,,
Cliffhanger,Cliffhanger,both,,
"Clockwork Orange, A",,left_only,"Clockwork Orange, A",HTML len = 0 : no content scrapped
Clueless,,left_only,,
Cobb,Cobb,both,,
Coco,,left_only,,
Code of Silence,,left_only,,
Cold Mountain,Cold Mountain,both,,
Collateral,Collateral,both,,
Collateral Damage,Collateral Damage,both,,
Colombiana,,left_only,,
Color of Night,,left_only,,
Commando,,left_only,Commando,HTML len = 0 : no content scrapped
Conan the Barbarian,,left_only,Conan the Barbarian,HTML len = 0 : no content scrapped
Confessions of a Dangerous Mind,,left_only,,
Confidence,Confidence,both,,
Constantine,,left_only,,
Contact,,left_only,Contact,"Webstatus : 404
"
Copycat,Copycat,both,,
Coraline,,left_only,,
Coriolanus,,left_only,,
Corpse Bride,,left_only,,
Courage Under Fire,Courage Under Fire,both,Courage Under Fire,HTML len = 0 : no content scrapped
Cowboys & Aliens,,left_only,Cowboys & Aliens,HTML len = 0 : no content scrapped
Cradle 2 the Grave,,left_only,,
Crank,Crank,both,,
Crash,,left_only,,
"Crazy, Stupid, Love",,left_only,,
Crazylove,,left_only,,
Creation,,left_only,,
Crime Spree,Crime Spree,both,,
"Crouching Tiger, Hidden Dragon",,left_only,,
Croupier,Croupier,both,,
Cruel Intentions,Cruel Intentions,both,,
Crying Game,,left_only,,
Cube,,left_only,,
Custody,,left_only,,
Dallas Buyers Club,,left_only,,
Dances with Wolves,,left_only,,
Dark City,Dark City,both,,
Dark Star,Dark Star,both,,
Darkman,Darkman,both,,
Date Night,,left_only,,
Dave Barry's Complete Guide to Guys,,left_only,,
Dawn of the Dead,,left_only,,
Day of the Dead,,left_only,,
Days of Heaven,Days of Heaven,both,,
Dead Poets Society,Dead Poets Society,both,,
Deadpool,,left_only,,
Deadpool & Wolverine,,left_only,Deadpool & Wolverine,HTML len = 0 : no content scrapped
Dear White People,,left_only,,
Death at a Funeral,,left_only,,
Death to Smoochy,Death to Smoochy,both,,
Deception,,left_only,,
Deep Cover,Deep Cover,both,,
Deep Rising,Deep Rising,both,,
Defiance,Defiance,both,,
Despicable Me 2,,left_only,,
Detroit Rock City,Detroit Rock City,both,,
Devil in a Blue Dress,,left_only,,
Devil's Advocate,,left_only,,
Die Hard,,left_only,,
Die Hard 2,Die Hard 2,both,,
Diner,Diner,both,,
Disturbia,Disturbia,both,,
Django Unchained,Django Unchained,both,,
Do The Right Thing,,left_only,,
Dog Day Afternoon,Dog Day Afternoon,both,,
Dogma,,left_only,,
Donnie Brasco,Donnie Brasco,both,,
Donnie Darko,Donnie Darko,both,Donnie Darko,"Webstatus : 404
"
Double Indemnity,Double Indemnity,both,,
Drag Me to Hell,,left_only,,
Dragonslayer,,left_only,,
Dream Scenario,,left_only,,
Drive,,left_only,,
Drive Angry,,left_only,,
Drop Dead Gorgeous,Drop Dead Gorgeous,both,,
"Dry White Season, A",,left_only,,
Duck Soup,Duck Soup,both,,
Dumb and Dumber,Dumb and Dumber,both,,
Dune,,left_only,,
Dune Part One,,left_only,,
E.T.,,left_only,,
Eagle Eye,,left_only,,
Eastern Promises,,left_only,,
Easy A,,left_only,,
Ed TV,Ed TV,both,,
Ed Wood,Ed Wood,both,,
Edward Scissorhands,Edward Scissorhands,both,,
Eight Legged Freaks,,left_only,,
El Mariachi,El Mariachi,both,,
Election,Election,both,,
Elemental,,left_only,,
Elizabeth: The Golden Age,Elizabeth: The Golden Age,both,,
Elvis,,left_only,,
Enemy of the State,Enemy of the State,both,,
Enough,,left_only,,
Entrapment,Entrapment,both,,
Equilibrium,Equilibrium,both,Equilibrium,HTML len = 0 : no content scrapped
Erik the Viking,Erik the Viking,both,,
Erin Brockovich,Erin Brockovich,both,,
Escape From L.A.,,left_only,,
Escape From New York,,left_only,,
Eternal Sunshine of the Spotless Mind,,left_only,,
Even Cowgirls Get the Blues,,left_only,,
