movie_name_conventioned,scrapping_url,scrapping_url_extension
A Nightmare On Elm Street,https://assets.scriptslug.com/live/pdf/scripts/a-nightmare-on-elm-street-1984.pdf?v=1729114852,pdf
A Nightmare On Elm Street 3 Dream Warriors,https://assets.scriptslug.com/live/pdf/scripts/nightmare-on-elm-street-3-dream-warriors-1987.pdf?v=1729114962,pdf
A Nightmare On Elm Street 5 The Dream Child,https://assets.scriptslug.com/live/pdf/scripts/a-nightmare-on-elm-street-the-dream-child-1989.pdf?v=1729114853,pdf
A Prayer Before Dawn,https://imsdb.com//scripts//A-Prayer-Before-Dawn.html,html
A Quiet Place,https://assets.scriptslug.com/live/pdf/scripts/a-quiet-place-2018.pdf?v=1729114853,pdf
A Real Pain,https://assets.scriptslug.com/live/pdf/scripts/a-real-pain-2024.pdf?v=1735776819,pdf
A Scanner Darkly,https://imsdb.com//scripts//A-Scanner-Darkly.html,html
A Separation,https://assets.scriptslug.com/live/pdf/scripts/a-separation-2011.pdf?v=1729114853,pdf
A Serious Man,https://assets.scriptslug.com/live/pdf/scripts/a-serious-man-2009.pdf?v=1729114853,pdf
A Simple Favor,https://assets.scriptslug.com/live/pdf/scripts/a-simple-favor-2018.pdf?v=1729114853,pdf
A Simple Plan,https://assets.scriptslug.com/live/pdf/scripts/a-simple-plan-1998.pdf?v=1729114853,pdf
A Soldiers Story,https://assets.scriptslug.com/live/pdf/scripts/a-soldiers-story-1984.pdf?v=1729114853,pdf
A Star Is Born,https://assets.scriptslug.com/live/pdf/scripts/a-star-is-born-2018.pdf?v=1729114853,pdf
A Thin Line Between Love And Hate,https://assets.scriptslug.com/live/pdf/scripts/a-thin-line-between-love-and-hate-1996.pdf?v=1729114853,pdf
A Time To Kill,https://assets.scriptslug.com/live/pdf/scripts/a-time-to-kill-1996.pdf?v=1729114853,pdf
A View To A Kill,https://assets.scriptslug.com/live/pdf/scripts/a-view-to-a-kill-1985.pdf?v=1729114854,pdf
About Alex,https://assets.scriptslug.com/live/pdf/scripts/about-alex-2014.pdf?v=1729114854,pdf
Above The Law,https://imsdb.com//scripts//Above-the-Law.html,html
Abraham Lincoln Vampire Hunter,https://assets.scriptslug.com/live/pdf/scripts/abraham-lincoln-vampire-hunter-2012.pdf?v=1729114854,pdf
Absolute Power,https://imsdb.com//scripts//Absolute-Power.html,html
Ace Ventura Pet Detective,https://assets.scriptslug.com/live/pdf/scripts/ace-ventura-pet-detective-1994.pdf?v=1729114854,pdf
Action Jackson,https://assets.scriptslug.com/live/pdf/scripts/actions-jackson-1988.pdf?v=1729114854,pdf
Ad Astra,https://assets.scriptslug.com/live/pdf/scripts/ad-astra-2019.pdf?v=1729114854,pdf
Adaptation,https://assets.scriptslug.com/live/pdf/scripts/adaptation-2002.pdf?v=1729114854,pdf
Addams Family Values,https://assets.scriptslug.com/live/pdf/scripts/addams-family-values-1993.pdf?v=1729114855,pdf
Affliction,https://imsdb.com//scripts//Affliction.html,html
After School Special,https://imsdb.com//scripts//After-School-Special.html,html
After The Wedding,https://assets.scriptslug.com/live/pdf/scripts/after-the-wedding-2019.pdf?v=1729114855,pdf
Afterlife,https://imsdb.com//scripts//After.Life.html,html
Aftersun,https://assets.scriptslug.com/live/pdf/scripts/aftersun-2022.pdf?v=1729114855,pdf
Agnes Of God,https://imsdb.com//scripts//Agnes-of-God.html,html
Air,https://assets.scriptslug.com/live/pdf/scripts/air-2023.pdf?v=1729114855,pdf
Air Force One,https://assets.scriptslug.com/live/pdf/scripts/air-force-one-1997.pdf?v=1729114855,pdf
Airplane,https://assets.scriptslug.com/live/pdf/scripts/airplane-1980.pdf?v=1729114855,pdf
Airplane 2 The Sequel,https://assets.scriptslug.com/live/pdf/scripts/airplane-ii-the-sequel-1982.pdf?v=1729114855,pdf
Aladdin,https://assets.scriptslug.com/live/pdf/scripts/aladdin-1992.pdf?v=1729114855,pdf
Alex Cross,https://assets.scriptslug.com/live/pdf/scripts/alex-cross-2012.pdf?v=1729114855,pdf
Ali,https://assets.scriptslug.com/live/pdf/scripts/ali-2001.pdf?v=1729114855,pdf
Alien,https://assets.scriptslug.com/live/pdf/scripts/alien-1979.pdf?v=1729114856,pdf
Alien 3,https://assets.scriptslug.com/live/pdf/scripts/alien-3-1992.pdf?v=1729114856,pdf
Alien Covenant,https://assets.scriptslug.com/live/pdf/scripts/alien-covenant-2017.pdf?v=1729114856,pdf
Alien Nation,https://imsdb.com//scripts//Alien-Nation.html,html
Alien Resurrection,https://assets.scriptslug.com/live/pdf/scripts/alien-resurrection-1997.pdf?v=1729114856,pdf
Alien Vs Predator,https://imsdb.com//scripts//Alien-vs.-Predator.html,html
Alien Vs Predator Requiem,https://assets.scriptslug.com/live/pdf/scripts/alien-vs-predator-requiem-2007.pdf?v=1729114856,pdf
Aliens,https://assets.scriptslug.com/live/pdf/scripts/aliens-1986.pdf?v=1729114856,pdf
Aligarh,https://assets.scriptslug.com/live/pdf/scripts/aligarh-2015.pdf?v=1729114856,pdf
All About Eve,https://assets.scriptslug.com/live/pdf/scripts/all-about-eve-1950.pdf?v=1729114856,pdf
All About Steve,https://imsdb.com//scripts//All-About-Steve.html,html
All Is Lost,https://assets.scriptslug.com/live/pdf/scripts/all-is-lost-2013.pdf?v=1729114856,pdf
All Is True,https://assets.scriptslug.com/live/pdf/scripts/all-is-true-2018.pdf?v=1729114856,pdf
All Of Us Strangers,https://assets.scriptslug.com/live/pdf/scripts/all-of-us-strangers-2023.pdf?v=1729114857,pdf
All Quiet On The Western Front,https://assets.scriptslug.com/live/pdf/scripts/all-quiet-on-the-western-front-2022.pdf?v=1729114857,pdf
All The Boy Love Mandy Lane,https://assets.scriptslug.com/live/pdf/scripts/all-the-boys-love-mandy-lane-2006.pdf?v=1729114857,pdf
All The Kings Men,https://imsdb.com//scripts//All-the-King's-Men.html,html
All The Money In The World,https://assets.scriptslug.com/live/pdf/scripts/all-the-money-in-the-world-2017.pdf?v=1729114857,pdf
All The Old Knives,https://assets.scriptslug.com/live/pdf/scripts/all-the-old-knives-2022.pdf?v=1729114857,pdf
All The Presidents Men,https://assets.scriptslug.com/live/pdf/scripts/all-the-presidents-men-1976.pdf?v=1729114857,pdf
Almost Famous,https://assets.scriptslug.com/live/pdf/scripts/almost-famous-2000.pdf?v=1729114857,pdf
Alone In The Dark,https://imsdb.com//scripts//Alone-in-the-Dark.html,html
Altered States,https://assets.scriptslug.com/live/pdf/scripts/altered-states-1980.pdf?v=1729114857,pdf
Amadeus,https://assets.scriptslug.com/live/pdf/scripts/amadeus-1984.pdf?v=1729114857,pdf
Ambulance,https://assets.scriptslug.com/live/pdf/scripts/ambulance-2022.pdf?v=1729114857,pdf
Amelia,https://imsdb.com//scripts//Amelia.html,html
American Animals,https://assets.scriptslug.com/live/pdf/scripts/american-animals-2018.pdf?v=1729114858,pdf
American Beauty,https://assets.scriptslug.com/live/pdf/scripts/american-beauty-1999.pdf?v=1729114858,pdf
American Fiction,https://assets.scriptslug.com/live/pdf/scripts/american-fiction-2023.pdf?v=1729114858,pdf
American Gangster,https://imsdb.com//scripts//American-Gangster.html,html
American Graffiti,https://assets.scriptslug.com/live/pdf/scripts/american-graffiti-1973.pdf?v=1729114858,pdf
American History X,https://imsdb.com//scripts//American-History-X.html,html
American Hustle,https://assets.scriptslug.com/live/pdf/scripts/american-hustle-2013.pdf?v=1729114858,pdf
American Madness,https://imsdb.com//scripts//American-Madness.html,html
American Milkshake,https://imsdb.com//scripts//American-Milkshake.html,html
American Outlaws,https://imsdb.com//scripts//American-Outlaws.html,html
American Pie,https://assets.scriptslug.com/live/pdf/scripts/american-pie-1999.pdf?v=1729114858,pdf
American Psycho,https://assets.scriptslug.com/live/pdf/scripts/american-psycho-2000.pdf?v=1729114858,pdf
American Shaolin King Of Kickboxers 2,https://imsdb.com//scripts//American-Shaolin-King-of-Kickboxers-II.html,html
American Sniper,https://assets.scriptslug.com/live/pdf/scripts/american-sniper-2014.pdf?v=1729114859,pdf
American Splendor,https://imsdb.com//scripts//American-Splendor.html,html
American Ultra,https://assets.scriptslug.com/live/pdf/scripts/american-ultra-2015.pdf?v=1729114859,pdf
American Werewolf In London,https://imsdb.com//scripts//American-Werewolf-in-London.html,html
Amistad,https://assets.scriptslug.com/live/pdf/scripts/amistad-1997.pdf?v=1729114859,pdf
Amour,https://assets.scriptslug.com/live/pdf/scripts/amour-2012.pdf?v=1729114859,pdf
Amsterdam,https://assets.scriptslug.com/live/pdf/scripts/amsterdam-2022.pdf?v=1729114859,pdf
