name,pacal_case_name,movie_name,movie_url,movie_url_extension,pacal_case_movie_name,_merge,name_error,error,pacal_case_name_error
Catwoman,catwoman,Catwoman,https://www.dailyscript.com/scripts/catwoman.pdf,pdf,catwoman,both,,,
Cecil B. Demented,cecilbdemented,,,,,left_only,,,
Cedar Rapids,cedarrapids,,,,,left_only,,,
Celeste & Jesse Forever,celeste&jesseforever,,,,,left_only,Celeste & Jesse Forever,HTML len = 0 : no content scrapped,celeste&jesseforever
Cellular,cellular,Cellular,https://www.dailyscript.com/scripts/cellular.pdf,pdf,cellular,both,,,
Changeling,changeling,Changeling,https://www.dailyscript.com/scripts/Changeling_screenplay.pdf,pdf,changeling,both,,,
Chaos,chaos,,,,,left_only,,,
Charade,charade,Charade,https://www.dailyscript.com/scripts/Charade.txt,txt,charade,both,,,
Charlie's Angels,charliesangels,Charlie's Angels,https://www.dailyscript.com/scripts/Charlies_Angels.pdf,pdf,charliesangels,both,,,
Chasing Amy,chasingamy,Chasing Amy,https://www.dailyscript.com/scripts/Chasing%20Amy.txt,txt,chasingamy,both,,,
Chasing Sleep,chasingsleep,Chasing Sleep,https://www.dailyscript.com/scripts/chasing_sleep.html,html,chasingsleep,both,,,
Cherry Falls,cherryfalls,,,,,left_only,,,
Chinatown,chinatown,Chinatown,https://www.dailyscript.com/scripts/Chinatown.txt,txt,chinatown,both,,,
Christ Complex,christcomplex,,,,,left_only,,,
